sample_index,score,maximum_probability_error
158,row_mad,0.0
158,row_rank,0.0
158,global_zscore,1.1102230246251565e-16
159,raw,5.551115123125783e-17
159,min_shift,5.551115123125783e-17
159,row_zscore,5.551115123125783e-17
159,row_mad,0.0
159,row_rank,0.0
159,global_zscore,0.0
160,raw,1.1102230246251565e-16
160,min_shift,1.1102230246251565e-16
160,row_zscore,1.1102230246251565e-16
160,row_mad,0.0
160,row_rank,5.551115123125783e-17
160,global_zscore,0.0
161,raw,5.551115123125783e-17
161,min_shift,5.551115123125783e-17
161,row_zscore,1.3877787807814457e-17
161,row_mad,0.0
161,row_rank,2.7755575615628914e-17
161,global_zscore,5.551115123125783e-17
162,raw,0.0
162,min_shift,0.0
162,row_zscore,5.551115123125783e-17
162,row_mad,0.0
162,row_rank,0.0
162,global_zscore,5.551115123125783e-17
163,raw,0.0
163,min_shift,0.0
163,row_zscore,0.0
163,row_mad,2.220446049250313e-16
163,row_rank,0.0
163,global_zscore,0.0
164,raw,0.0
164,min_shift,0.0
164,row_zscore,2.7755575615628914e-17
164,row_mad,2.220446049250313e-16
164,row_rank,0.0
164,global_zscore,5.551115123125783e-17
165,raw,0.0
165,min_shift,0.0
165,row_zscore,0.0
165,row_mad,0.0
165,row_rank,0.0
165,global_zscore,0.0
166,raw,1.1102230246251565e-16
