sample_index,score,absolute_log_odds_change,violated_extension_stability
0,raw,2.220446049250313e-16,False
0,min_shift,2.220446049250313e-16,False
0,row_zscore,0.8115365654972818,True
0,row_mad,0.2706254053226649,True
0,row_rank,0.12500000000000006,True
0,global_zscore,0.6975592518907288,True
1,raw,2.220446049250313e-16,False
1,min_shift,2.220446049250313e-16,False
1,row_zscore,0.6520272468220946,True
1,row_mad,3.8217714075024887,True
1,row_rank,0.19999999999999973,True
1,global_zscore,0.09400187359470547,True
2,raw,2.220446049250313e-16,False
2,min_shift,2.220446049250313e-16,False
2,row_zscore,0.05551167959224668,True
2,row_mad,0.5205382299177512,True
2,row_rank,0.0277777777777779,True
2,global_zscore,0.024605432940107308,True
3,raw,0.0,False
3,min_shift,0.0,False
3,row_zscore,1.1938913454114555,True
3,row_mad,0.7061016680024363,True
3,row_rank,0.3333333333333333,True
3,global_zscore,0.14581427141485226,True
4,raw,0.0,False
4,min_shift,0.0,False
4,row_zscore,0.22561397435623842,True
4,row_mad,0.35199990538432413,True
4,row_rank,0.10389610389610396,True
4,global_zscore,0.0398369042750224,True
5,raw,0.0,False
5,min_shift,0.0,False
5,row_zscore,0.038466032942663486,True
5,row_mad,0.07321481911159283,True
5,row_rank,0.13333333333333328,True
5,global_zscore,0.005534870425344063,True
6,raw,2.220446049250313e-16,False
6,min_shift,2.220446049250313e-16,False
6,row_zscore,1.2245583646081226,True
6,row_mad,0.5166161957464146,True
6,row_rank,0.4,True
6,global_zscore,0.00013800876202874068,True
7,raw,2.3592239273284576e-16,False
7,min_shift,2.3592239273284576e-16,False
7,row_zscore,0.0006458898939998153,True
7,row_mad,0.011965711757417466,True
7,row_rank,0.01785714285714296,True
7,global_zscore,0.00017824151678634548,True
8,raw,0.0,False
8,min_shift,0.0,False
8,row_zscore,0.22704755191052362,True
8,row_mad,0.0,False
8,row_rank,0.041666666666666685,True
8,global_zscore,0.0007530441754449724,True
9,raw,0.0,False
9,min_shift,0.0,False
9,row_zscore,0.10793678963711795,True
9,row_mad,0.8706949697087052,True
9,row_rank,0.051948051948052076,True
9,global_zscore,0.03224329957816385,True
10,raw,1.6653345369377348e-16,False
10,min_shift,1.6653345369377348e-16,False
10,row_zscore,0.6059636843568388,True
10,row_mad,0.8705563871786122,True
10,row_rank,0.07499999999999965,True
10,global_zscore,0.0845284995423034,True
11,raw,2.220446049250313e-16,False
11,min_shift,2.220446049250313e-16,False
11,row_zscore,0.600971408749243,True
11,row_mad,0.6033408058962249,True
11,row_rank,0.07954545454545459,True
11,global_zscore,0.08144641019989152,True
12,raw,3.885780586188048e-16,False
12,min_shift,3.885780586188048e-16,False
12,row_zscore,0.04754677660364892,True
12,row_mad,0.2607010864436654,True
12,row_rank,0.07499999999999996,True
12,global_zscore,0.01171416150115595,True
13,raw,0.0,False
13,min_shift,0.0,False
13,row_zscore,0.1260192594645202,True
13,row_mad,1.2499567477686062,True
13,row_rank,0.16666666666666669,True
13,global_zscore,0.011990881943910292,True
14,raw,0.0,False
14,min_shift,0.0,False
14,row_zscore,0.07681340849749452,True
14,row_mad,0.9409976065270467,True
14,row_rank,0.013888888888888618,True
14,global_zscore,0.014263938205299365,True
15,raw,0.0,False
15,min_shift,0.0,False
15,row_zscore,0.41513963749554494,True
15,row_mad,1.1270500663592369,True
15,row_rank,0.05952380952380924,True
15,global_zscore,0.15145003941320123,True
16,raw,0.0,False
16,min_shift,0.0,False
16,row_zscore,0.2856496134230233,True
16,row_mad,2.220446049250313e-16,False
16,row_rank,0.06666666666666676,True
16,global_zscore,0.11317491310702943,True
17,raw,3.3306690738754696e-16,False
17,min_shift,3.3306690738754696e-16,False
17,row_zscore,0.059512611213594635,True
17,row_mad,0.5008417638130344,True
17,row_rank,0.11904761904761896,True
17,global_zscore,0.005207418523662022,True
18,raw,0.0,False
18,min_shift,0.0,False
18,row_zscore,0.5613724685154551,True
18,row_mad,1.517801570054775,True
18,row_rank,0.2777777777777779,True
18,global_zscore,0.44880702838082076,True
19,raw,2.0816681711721685e-16,False
19,min_shift,2.0816681711721685e-16,False
19,row_zscore,0.03264285244728836,True
19,row_mad,0.24237315878255067,True
19,row_rank,0.041666666666666574,True
19,global_zscore,0.004473879790726651,True
20,raw,0.0,False
20,min_shift,0.0,False
20,row_zscore,0.9678104363559894,True
20,row_mad,1.4370762875947878,True
20,row_rank,0.25,True
20,global_zscore,0.32761334872074643,True
21,raw,4.440892098500626e-16,False
21,min_shift,4.440892098500626e-16,False
21,row_zscore,1.2054465063636586,True
21,row_mad,0.1948689740312508,True
21,row_rank,0.16666666666666663,True
21,global_zscore,0.3077433176783453,True
22,raw,4.440892098500626e-16,False
22,min_shift,4.440892098500626e-16,False
22,row_zscore,0.08918662474186889,True
22,row_mad,0.23613659622882288,True
22,row_rank,0.07499999999999996,True
22,global_zscore,0.08674914256288052,True
23,raw,0.0,False
23,min_shift,0.0,False
23,row_zscore,0.1310886522149728,True
23,row_mad,0.18005842033399433,True
23,row_rank,0.03571428571428559,True
23,global_zscore,0.03589541016914177,True
24,raw,0.0,False
24,min_shift,0.0,False
24,row_zscore,0.21427000233235072,True
24,row_mad,0.5295167426664711,True
24,row_rank,0.16666666666666663,True
24,global_zscore,0.044681088670211366,True
25,raw,0.0,False
25,min_shift,0.0,False
25,row_zscore,0.041813590473603,True
25,row_mad,0.3355825279939293,True
25,row_rank,0.0277777777777779,True
25,global_zscore,0.011599059773728104,True
26,raw,6.661338147750939e-16,False
