sample_index,score,scale,offset,probability_total_variation,maximum_probability_error
0,raw,3.2039992267606934,2.8400412723363733,0.3651639525482982,0.36516395254829825
0,min_shift,3.2039992267606934,2.8400412723363733,0.3651639525482982,0.36516395254829825
0,row_zscore,3.2039992267606934,2.8400412723363733,1.1796119636642288e-16,2.220446049250313e-16
0,row_mad,3.2039992267606934,2.8400412723363733,1.9081958235744878e-17,2.7755575615628914e-17
0,row_rank,3.2039992267606934,2.8400412723363733,0.0,0.0
0,global_zscore,3.2039992267606934,2.8400412723363733,1.734723475976807e-17,2.0816681711721685e-17
1,raw,0.6381238665998292,-0.1279957535855294,0.16451205580084008,0.16451205580084005
1,min_shift,0.6381238665998292,-0.1279957535855294,0.16451205580084008,0.16451205580084005
1,row_zscore,0.6381238665998292,-0.1279957535855294,7.979727989493313e-17,1.1102230246251565e-16
1,row_mad,0.6381238665998292,-0.1279957535855294,2.42861286636753e-17,2.42861286636753e-17
1,row_rank,0.6381238665998292,-0.1279957535855294,0.0,0.0
1,global_zscore,0.6381238665998292,-0.1279957535855294,6.938893903907228e-18,1.3877787807814457e-17
2,raw,1.7622692862315468,2.001011127772296,0.1287400655573069,0.08118221577120388
2,min_shift,1.7622692862315468,2.001011127772296,0.1287400655573069,0.08118221577120388
2,row_zscore,1.7622692862315468,2.001011127772296,3.122502256758253e-17,4.163336342344337e-17
2,row_mad,1.7622692862315468,2.001011127772296,4.597017211338539e-17,5.551115123125783e-17
2,row_rank,1.7622692862315468,2.001011127772296,0.0,0.0
2,global_zscore,1.7622692862315468,2.001011127772296,9.540979117872439e-17,5.551115123125783e-17
3,raw,1.7379324058380958,2.2967831398162213,0.08476570923269638,0.08476570923269627
3,min_shift,1.7379324058380958,2.2967831398162213,0.08476570923269638,0.08476570923269627
3,row_zscore,1.7379324058380958,2.2967831398162213,5.204170427930421e-18,1.0408340855860843e-17
3,row_mad,1.7379324058380958,2.2967831398162213,3.3881317890172014e-20,6.776263578034403e-20
3,row_rank,1.7379324058380958,2.2967831398162213,0.0,0.0
3,global_zscore,1.7379324058380958,2.2967831398162213,0.0,0.0
4,raw,0.7935907227874424,-0.917357956870128,0.09565291826334693,0.09565291826334688
4,min_shift,0.7935907227874424,-0.917357956870128,0.09565291826334693,0.09565291826334688
4,row_zscore,0.7935907227874424,-0.917357956870128,8.847089727481716e-17,1.1102230246251565e-16
4,row_mad,0.7935907227874424,-0.917357956870128,0.0,0.0
4,row_rank,0.7935907227874424,-0.917357956870128,0.0,0.0
4,global_zscore,0.7935907227874424,-0.917357956870128,8.500145032286355e-17,1.1102230246251565e-16
5,raw,0.5078036082275199,0.8115993683268972,0.07497070718797377,0.0641625016937603
5,min_shift,0.5078036082275199,0.8115993683268972,0.07497070718797377,0.0641625016937603
5,row_zscore,0.5078036082275199,0.8115993683268972,1.0408340855860843e-17,2.0816681711721685e-17
5,row_mad,0.5078036082275199,0.8115993683268972,7.589415207398531e-19,1.5178830414797062e-18
5,row_rank,0.5078036082275199,0.8115993683268972,0.0,0.0
5,global_zscore,0.5078036082275199,0.8115993683268972,6.245004513516506e-17,5.551115123125783e-17
6,raw,0.8104064540043385,-2.1373741090110676,0.07258331350347612,0.05549867478918141
