n,base_model,alternative_model,single_bit_total_variation,clean_count_tv,clean_exact_balanced_accuracy,clean_simulated_balanced_accuracy,clean_simulation_exact_error,noisy_base_probability,noisy_alternative_probability,noisy_count_tv,noisy_exact_balanced_accuracy,noisy_simulated_balanced_accuracy,noisy_simulation_exact_error
32,uniform,power_anisotropic,0.3408964152537145,0.9669694645022232,0.983484732251112,0.9821,0.0013847322511120197,0.5,0.26137250932239986,0.8398954919868541,0.9199477459934273,0.9181999999999999,0.0017477459934274187
32,uniform,beta_skew,0.390625,0.990503099713629,0.9952515498568146,0.996,0.0007484501431853641,0.5,0.2265625,0.9032338902402566,0.9516169451201284,0.9523,0.0006830548798716363
64,uniform,power_anisotropic,0.3408964152537145,0.9975450012731004,0.9987725006365503,0.9987999999999999,2.7499363449590142e-05,0.5,0.26137250932239986,0.9539509944677484,0.9769754972338746,0.9783,0.0013245027661253905
64,uniform,beta_skew,0.390625,0.9997631550405569,0.9998815775202785,1.0,0.00011842247972149167,0.5,0.2265625,0.9805718890288422,0.9902859445144212,0.9904999999999999,0.00021405548557873466
128,uniform,power_anisotropic,0.3408964152537145,0.9999824064424837,0.9999912032212419,0.9999,9.120322124189784e-05,0.5,0.26137250932239986,0.9953031095864935,0.9976515547932464,0.9977,4.8445206753622294e-05
128,uniform,beta_skew,0.390625,0.9999997801769019,0.999999890088451,1.0,1.0991154897332933e-07,0.5,0.2265625,0.9990495079959892,0.9995247539979946,0.9994,0.00012475399799460885
256,uniform,power_anisotropic,0.3408964152537145,0.9999999987894074,0.9999999993947042,1.0,6.052958134716846e-10,0.5,0.26137250932239986,0.9999371933929965,0.9999685966964984,0.9999,6.859669649839084e-05
256,uniform,beta_skew,0.390625,0.9999999999997705,0.9999999999998856,1.0,1.1435297153639112e-13,0.5,0.2265625,0.9999968472140305,0.9999984236070154,1.0,1.5763929845924451e-06
