n,number_bins,covariance_condition_number,covariance_minimum_eigenvalue,ledoit_wolf_shrinkage,global_holdout_acceptance_rate,local_holdout_pass_rate,combined_scanned_holdout_acceptance_rate
128,54,351.7339142624706,5.096490666236504e-07,0.06210042634046799,1.0,1.0,1.0
256,161,525.4031084554894,5.738315079799536e-08,0.0973943893591158,1.0,1.0,1.0
